yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2013,5,11941.0,2,5,OVERALL,26.7
2013,5,11962.0,2,6,OVERALL,38.5
2013,5,12248.0,2,7,OVERALL,35.9
2013,5,12370.0,2,8,OVERALL,17.9
2014,5,12567.0,1,2,OVERALL,21.3
2014,5,12567.0,1,3,OVERALL,36.1
2014,5,13383.0,2,8,OVERALL,16.4
2011,6,6457.0,1,2,OVERALL,24.5
2011,6,6457.0,1,3,OVERALL,35.2
2011,6,6519.0,0,0,OVERALL,32.0
2011,6,6420.0,0,1,OVERALL,20.6
2012,6,8312.0,1,2,OVERALL,25.6
2011,6,6303.0,2,5,OVERALL,21.8
2011,6,6340.0,2,6,OVERALL,32.8
2011,6,6485.0,2,7,OVERALL,30.6
2012,6,8312.0,1,3,OVERALL,36.7
2012,6,8760.0,2,8,OVERALL,22.1
2013,6,7309.0,1,2,OVERALL,25.0
2013,6,7309.0,1,3,OVERALL,37.6
2011,8,4530.0,1,2,OVERALL,28.8
2013,6,7073.0,0,0,OVERALL,33.7
2013,6,6954.0,0,1,OVERALL,22.2
2013,6,6902.0,2,4,OVERALL,50.9
2013,6,6824.0,2,5,OVERALL,20.8
2013,6,6874.0,2,6,OVERALL,31.1
2013,6,7007.0,2,7,OVERALL,30.0
2013,6,7121.0,2,8,OVERALL,24.9
2014,6,7237.0,1,2,OVERALL,26.3
2014,6,7237.0,1,3,OVERALL,34.1
2014,6,7943.0,2,8,OVERALL,20.6
2011,8,4530.0,1,3,OVERALL,35.0
2011,8,4625.0,0,0,OVERALL,39.2
2011,8,4592.0,0,1,OVERALL,23.8
2011,8,4511.0,2,4,OVERALL,48.5
2011,8,4441.0,2,5,OVERALL,21.5
2011,8,4459.0,2,6,OVERALL,28.3
2011,8,4646.0,2,7,OVERALL,32.3
2011,8,4728.0,2,8,OVERALL,27.0
2012,8,4944.0,1,2,OVERALL,26.9
2012,8,4944.0,1,3,OVERALL,39.1
2012,8,5172.0,2,8,OVERALL,23.5
2013,8,4893.0,1,2,OVERALL,31.1
2013,8,4893.0,1,3,OVERALL,33.5
2013,8,4828.0,0,0,OVERALL,40.4
2013,8,4741.0,0,1,OVERALL,28.9
2013,8,4751.0,2,4,OVERALL,49.7
2013,8,4715.0,2,5,OVERALL,21.2
2013,8,4723.0,2,6,OVERALL,31.1
2013,8,4877.0,2,7,OVERALL,31.8
2013,8,4926.0,2,8,OVERALL,27.8
2014,8,3983.0,1,2,OVERALL,30.7
2014,8,3983.0,1,3,OVERALL,36.8
2014,8,4293.0,2,8,OVERALL,24.9
2011,7,4368.0,1,2,OVERALL,23.7
2011,7,4368.0,1,3,OVERALL,29.1
2011,7,4285.0,0,0,OVERALL,31.7
2013,7,4705.0,1,3,OVERALL,30.9
2011,7,4236.0,0,1,OVERALL,20.1
2011,7,4117.0,2,5,OVERALL,26.3
2011,7,4152.0,2,6,OVERALL,34.4
2011,7,4276.0,2,7,OVERALL,36.1
2011,7,4356.0,2,8,OVERALL,19.8
2012,7,3644.0,1,2,OVERALL,21.9
2012,7,3644.0,1,3,OVERALL,30.0
2012,7,3817.0,2,8,OVERALL,17.4
2013,7,4705.0,1,2,OVERALL,22.9
2013,7,4377.0,0,0,OVERALL,34.8
2013,7,4283.0,0,1,OVERALL,20.9
2013,7,4198.0,2,5,OVERALL,25.6
2013,7,4208.0,2,6,OVERALL,35.3
2013,7,4358.0,2,7,OVERALL,35.1
2013,7,4429.0,2,8,OVERALL,19.5
2014,7,3787.0,1,2,OVERALL,21.7
2014,7,3787.0,1,3,OVERALL,33.2
2014,7,4059.0,2,8,OVERALL,20.8
2011,9,11770.0,1,2,OVERALL,26.6
2011,9,11770.0,1,3,OVERALL,36.7
2011,9,11418.0,0,0,OVERALL,37.7
2011,9,11219.0,0,1,OVERALL,22.6
2011,9,10962.0,2,5,OVERALL,21.4
2012,9,7282.0,1,2,OVERALL,25.2
2011,9,10998.0,2,6,OVERALL,33.7
2011,9,11377.0,2,7,OVERALL,29.2
2011,9,11564.0,2,8,OVERALL,26.9
2012,9,7282.0,1,3,OVERALL,36.9
2012,9,7613.0,2,8,OVERALL,23.3
2014,9,9156.0,1,2,OVERALL,26.2
2014,9,9156.0,1,3,OVERALL,36.0
2014,9,9796.0,2,8,OVERALL,23.7
2011,10,9353.0,1,2,OVERALL,28.0
2011,10,9353.0,1,3,OVERALL,34.7
2011,10,9466.0,2,8,OVERALL,26.7
2011,10,9175.0,0,0,OVERALL,41.9
2011,10,9073.0,0,1,OVERALL,23.2
2011,10,9107.0,2,4,OVERALL,50.7
2011,10,9330.0,2,7,OVERALL,30.2
2011,10,9008.0,2,5,OVERALL,20.7
2011,10,9037.0,2,6,OVERALL,31.8
2012,10,5737.0,1,2,OVERALL,29.1
2012,10,5737.0,1,3,OVERALL,35.5
2012,10,6091.0,2,8,OVERALL,23.6
2013,10,7606.0,1,2,OVERALL,30.3
2013,10,7606.0,1,3,OVERALL,35.4
2013,10,7236.0,0,0,OVERALL,43.2
2013,10,7097.0,0,1,OVERALL,23.7
2013,10,7119.0,2,4,OVERALL,50.8
2013,10,7053.0,2,5,OVERALL,21.5
