yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,0,78.0,2,8,RACEHIS,23.5
2011,0,472.0,2,8,RACENAA,31.7
2011,0,134.0,2,8,RACE2PLUS,30.2
2011,0,63.0,2,8,RACEOTH,35.6
2012,0,2782.0,1,2,RACEWHT,26.0
2012,0,55.0,1,2,RACEBLK,39.0
2012,0,122.0,1,2,RACEHIS,21.1
2012,0,748.0,1,2,RACENAA,31.9
2012,0,154.0,1,2,RACE2PLUS,22.4
2012,0,84.0,1,2,RACEOTH,21.5
2012,0,2782.0,1,3,RACEWHT,39.6
2012,0,55.0,1,3,RACEBLK,35.8
2012,0,122.0,1,3,RACEHIS,44.1
2012,0,82.0,1,3,RACEASN,38.9
2012,0,748.0,1,3,RACENAA,37.0
2012,0,154.0,1,3,RACE2PLUS,36.8
2012,0,84.0,1,3,RACEOTH,31.2
2012,0,2930.0,2,8,RACEWHT,15.5
2012,0,59.0,2,8,RACEBLK,37.7
2012,0,130.0,2,8,RACEHIS,15.3
2012,0,88.0,2,8,RACEASN,23.0
2012,0,799.0,2,8,RACENAA,27.8
2012,0,162.0,2,8,RACE2PLUS,16.8
2012,0,89.0,2,8,RACEOTH,20.7
2013,0,3194.0,1,2,RACEWHT,26.4
2013,0,65.0,1,2,RACEBLK,39.5
2013,0,125.0,1,2,RACEHIS,31.7
2013,0,92.0,1,2,RACEASN,30.3
2013,0,621.0,1,2,RACENAA,33.6
2013,0,184.0,1,2,RACE2PLUS,23.2
2013,0,3194.0,1,3,RACEWHT,39.9
2013,0,65.0,1,3,RACEBLK,27.8
2013,0,125.0,1,3,RACEHIS,37.7
2013,0,92.0,1,3,RACEASN,29.8
2013,0,621.0,1,3,RACENAA,33.2
2013,0,184.0,1,3,RACE2PLUS,35.7
2013,0,3104.0,0,0,RACEWHT,37.0
2013,0,61.0,0,0,RACEBLK,26.1
2013,0,128.0,0,0,RACEHIS,48.9
2013,0,85.0,0,0,RACEASN,46.5
2013,0,581.0,0,0,RACENAA,49.3
2013,0,177.0,0,0,RACE2PLUS,43.0
2013,0,125.0,2,7,RACEHIS,31.0
2013,0,124.0,0,1,RACEHIS,20.1
2013,0,83.0,0,1,RACEASN,28.3
2013,0,61.0,0,1,RACEBLK,27.7
2013,0,173.0,0,1,RACE2PLUS,25.5
2013,0,3069.0,0,1,RACEWHT,15.2
2013,0,572.0,0,1,RACENAA,30.7
2013,0,59.0,2,4,RACEBLK,44.5
2013,0,123.0,2,4,RACEHIS,54.0
2013,0,82.0,2,4,RACEASN,48.4
2013,0,552.0,2,4,RACENAA,49.2
2013,0,172.0,2,4,RACE2PLUS,51.2
2013,0,3000.0,2,5,RACEWHT,25.8
2013,0,58.0,2,5,RACEBLK,30.6
2013,0,123.0,2,5,RACEHIS,20.5
2013,0,80.0,2,5,RACEASN,28.7
2013,0,541.0,2,5,RACENAA,18.4
2013,0,168.0,2,5,RACE2PLUS,29.4
2013,0,3014.0,2,6,RACEWHT,37.8
2013,0,59.0,2,6,RACEBLK,27.5
2013,0,122.0,2,6,RACEHIS,38.7
2013,0,82.0,2,6,RACEASN,36.1
2013,0,546.0,2,6,RACENAA,34.4
2013,0,170.0,2,6,RACE2PLUS,29.5
2013,0,3082.0,2,7,RACEWHT,35.9
2013,0,61.0,2,7,RACEBLK,53.5
2013,0,80.0,2,7,RACEASN,48.5
2013,0,570.0,2,7,RACENAA,26.0
2013,0,172.0,2,7,RACE2PLUS,40.5
2013,0,3120.0,2,8,RACEWHT,20.5
2013,0,62.0,2,8,RACEBLK,23.3
2013,0,126.0,2,8,RACEHIS,23.8
2013,0,82.0,2,8,RACEASN,26.7
2013,0,589.0,2,8,RACENAA,28.9
2013,0,177.0,2,8,RACE2PLUS,23.1
2014,0,3102.0,1,2,RACEWHT,28.6
2014,0,54.0,1,2,RACEBLK,42.3
2014,0,120.0,1,2,RACEHIS,29.6
2014,0,73.0,1,2,RACEASN,17.8
2014,0,492.0,1,2,RACENAA,33.8
2014,0,158.0,1,2,RACE2PLUS,34.0
2014,0,3102.0,1,3,RACEWHT,35.6
2014,0,54.0,1,3,RACEBLK,34.6
2014,0,120.0,1,3,RACEHIS,44.7
2014,0,73.0,1,3,RACEASN,20.4
2014,0,492.0,1,3,RACENAA,34.1
2014,0,158.0,1,3,RACE2PLUS,37.3
2014,0,3270.0,2,8,RACEWHT,16.1
2014,0,54.0,2,8,RACEBLK,26.4
2014,0,136.0,2,8,RACEHIS,23.3
2014,0,78.0,2,8,RACEASN,36.3
2014,0,519.0,2,8,RACENAA,26.8
2014,0,165.0,2,8,RACE2PLUS,11.3
2011,3,103.0,1,2,RACEBLK,26.8
2011,3,996.0,1,2,RACEHIS,33.8
2011,3,64.0,1,2,RACEASN,13.0
2011,3,270.0,1,2,RACENAA,34.2
2011,3,82.0,1,2,RACE2PLUS,20.8
2011,3,97.0,1,3,RACEBLK,45.1
2011,3,980.0,1,3,RACEHIS,40.2
2011,3,59.0,1,3,RACEASN,26.7
2011,3,254.0,1,3,RACENAA,40.2
2011,3,75.0,1,3,RACE2PLUS,29.3
2011,3,80.0,0,0,RACE2PLUS,27.4
2011,3,62.0,0,0,RACEASN,28.0
2011,3,260.0,0,0,RACENAA,40.4
2011,3,98.0,0,0,RACEBLK,41.1
2011,3,1033.0,0,0,RACEHIS,43.9
2011,3,97.0,0,1,RACEBLK,28.1
2011,3,1014.0,0,1,RACEHIS,26.5
2011,3,58.0,0,1,RACEASN,12.2
2011,3,256.0,0,1,RACENAA,23.3
2011,3,79.0,0,1,RACE2PLUS,9.3
2011,3,99.0,2,4,RACEBLK,56.8
2011,3,1010.0,2,4,RACEHIS,42.6
2011,3,59.0,2,4,RACEASN,50.2
2011,3,258.0,2,4,RACENAA,55.2
2011,3,98.0,2,5,RACEBLK,27.3
2011,3,988.0,2,5,RACEHIS,20.0
2011,3,57.0,2,5,RACEASN,27.8
2011,3,255.0,2,5,RACENAA,32.4
2011,3,78.0,2,5,RACE2PLUS,35.8
2011,3,99.0,2,6,RACEBLK,37.6
2011,3,1004.0,2,6,RACEHIS,23.3
2011,3,58.0,2,6,RACEASN,31.4
2011,3,258.0,2,6,RACENAA,38.8
2011,3,79.0,2,6,RACE2PLUS,43.2
2011,3,101.0,2,7,RACEBLK,36.9
2011,3,1009.0,2,7,RACEHIS,29.4
2011,3,60.0,2,7,RACEASN,43.4
2011,3,264.0,2,7,RACENAA,34.5
2011,3,80.0,2,7,RACE2PLUS,47.6
2011,3,102.0,2,8,RACEBLK,26.9
2011,3,1040.0,2,8,RACEHIS,28.1
2011,3,62.0,2,8,RACEASN,26.4
2011,3,269.0,2,8,RACENAA,25.5
2011,3,81.0,2,8,RACE2PLUS,15.0
2012,3,120.0,1,2,RACEBLK,35.4
2012,3,1050.0,1,2,RACEHIS,30.9
2012,3,74.0,1,2,RACEASN,4.3
2012,3,289.0,1,2,RACENAA,45.8
2012,3,97.0,1,2,RACE2PLUS,31.6
2012,3,63.0,1,2,RACEOTH,27.2
2012,3,120.0,1,3,RACEBLK,34.4
2012,3,1050.0,1,3,RACEHIS,40.0
2012,3,74.0,1,3,RACEASN,29.0
2012,3,289.0,1,3,RACENAA,29.4
2012,3,97.0,1,3,RACE2PLUS,29.1
2012,3,63.0,1,3,RACEOTH,33.8
2012,3,125.0,2,8,RACEBLK,29.5
2012,3,1137.0,2,8,RACEHIS,29.3
2012,3,79.0,2,8,RACEASN,18.8
2012,3,300.0,2,8,RACENAA,21.4
2012,3,100.0,2,8,RACE2PLUS,20.8
2012,3,63.0,2,8,RACEOTH,37.3
2013,3,2993.0,1,2,RACEWHT,21.7
2013,3,89.0,1,2,RACEBLK,34.5
2013,3,536.0,1,2,RACEHIS,36.7
2013,3,172.0,1,2,RACENAA,53.0
2013,3,62.0,1,2,RACE2PLUS,14.8
2013,3,52.0,1,2,RACEOTH,23.5
2013,3,2993.0,1,3,RACEWHT,37.0
2013,3,89.0,1,3,RACEBLK,45.6
2013,3,536.0,1,3,RACEHIS,29.9
2013,3,172.0,1,3,RACENAA,28.0
2013,3,62.0,1,3,RACE2PLUS,39.0
2013,3,52.0,1,3,RACEOTH,32.2
2013,3,2867.0,0,0,RACEWHT,37.2
2013,3,83.0,0,0,RACEBLK,53.1
2013,3,531.0,0,0,RACEHIS,42.3
2013,3,161.0,0,0,RACENAA,41.7
2013,3,58.0,0,0,RACE2PLUS,52.6
2013,3,50.0,0,0,RACEOTH,42.0
2013,3,58.0,0,1,RACE2PLUS,29.0
2013,3,2838.0,0,1,RACEWHT,21.7
2013,3,156.0,0,1,RACENAA,33.1
2013,3,84.0,0,1,RACEBLK,37.7
2013,3,514.0,0,1,RACEHIS,25.2
2013,3,2899.0,2,8,RACEWHT,22.1
2013,3,2811.0,2,4,RACEWHT,56.0
2013,3,82.0,2,4,RACEBLK,37.5
2013,3,516.0,2,4,RACEHIS,45.8
2013,3,157.0,2,4,RACENAA,52.1
2013,3,55.0,2,4,RACE2PLUS,32.7
2013,3,2773.0,2,5,RACEWHT,22.2
2013,3,82.0,2,5,RACEBLK,11.4
2013,3,511.0,2,5,RACEHIS,22.8
2013,3,153.0,2,5,RACENAA,24.3
2013,3,55.0,2,5,RACE2PLUS,23.7
2013,3,2797.0,2,6,RACEWHT,38.1
2013,3,82.0,2,6,RACEBLK,25.7
2013,3,513.0,2,6,RACEHIS,26.3
2013,3,157.0,2,6,RACENAA,34.6
2013,3,55.0,2,6,RACE2PLUS,23.8
2013,3,2844.0,2,7,RACEWHT,30.0
2013,3,86.0,2,7,RACEBLK,18.6
2013,3,526.0,2,7,RACEHIS,34.6
2013,3,157.0,2,7,RACENAA,35.8
2013,3,58.0,2,7,RACE2PLUS,34.1
2013,3,88.0,2,8,RACEBLK,37.5
2013,3,533.0,2,8,RACEHIS,30.5
2013,3,163.0,2,8,RACENAA,24.9
2013,3,59.0,2,8,RACE2PLUS,29.3
2014,3,198.0,1,2,RACEASN,6.6
2014,3,381.0,1,2,RACEBLK,36.7
2014,3,1814.0,1,2,RACEHIS,34.0
2014,3,319.0,1,2,RACENAA,44.6
2014,3,161.0,1,2,RACE2PLUS,29.5
2014,3,133.0,1,2,RACEOTH,26.1
2014,3,381.0,1,3,RACEBLK,34.3
2014,3,1814.0,1,3,RACEHIS,35.8
2014,3,198.0,1,3,RACEASN,27.2
2014,3,319.0,1,3,RACENAA,32.9
2014,3,161.0,1,3,RACE2PLUS,37.1
2014,3,133.0,1,3,RACEOTH,23.6
2014,3,410.0,2,8,RACEBLK,25.0
2014,3,2003.0,2,8,RACEHIS,24.0
2014,3,221.0,2,8,RACEASN,24.1
2014,3,333.0,2,8,RACENAA,24.1
2014,3,169.0,2,8,RACE2PLUS,24.8
2014,3,149.0,2,8,RACEOTH,21.6
2011,2,3563.0,1,2,RACEWHT,31.0
2011,2,592.0,1,2,RACEBLK,38.1
2011,2,126.0,1,2,RACEHIS,18.4
2011,2,58.0,1,2,RACENAA,19.3
2011,2,80.0,1,2,RACE2PLUS,26.4
2011,2,3563.0,1,3,RACEWHT,32.7
2011,2,592.0,1,3,RACEBLK,35.3
2011,2,126.0,1,3,RACEHIS,46.5
2011,2,58.0,1,3,RACENAA,22.4
2011,2,80.0,1,3,RACE2PLUS,36.1
2011,2,77.0,0,0,RACE2PLUS,34.9
2011,2,128.0,0,0,RACEHIS,39.9
2011,2,555.0,0,0,RACEBLK,42.7
2011,2,3469.0,0,0,RACEWHT,49.2
2011,2,53.0,0,0,RACENAA,50.7
2011,2,3378.0,0,1,RACEWHT,25.7
2011,2,549.0,0,1,RACEBLK,49.7
2011,2,128.0,0,1,RACEHIS,23.8
2011,2,50.0,0,1,RACENAA,38.9
2011,2,75.0,0,1,RACE2PLUS,16.6
2011,2,3375.0,2,4,RACEWHT,45.5
2011,2,547.0,2,4,RACEBLK,48.8
2011,2,127.0,2,4,RACEHIS,41.9
2011,2,73.0,2,4,RACE2PLUS,51.7
2011,2,554.0,2,7,RACEBLK,28.4
2011,2,3344.0,2,5,RACEWHT,15.7
2011,2,537.0,2,5,RACEBLK,20.4
2011,2,123.0,2,5,RACEHIS,20.4
2011,2,72.0,2,5,RACE2PLUS,16.6
2011,2,3350.0,2,6,RACEWHT,27.7
2011,2,543.0,2,6,RACEBLK,30.6
2011,2,127.0,2,6,RACEHIS,21.9
2011,2,73.0,2,6,RACE2PLUS,35.5
2011,2,3481.0,2,7,RACEWHT,23.8
2011,2,127.0,2,7,RACEHIS,24.2
2011,2,50.0,2,7,RACENAA,25.1
2011,2,77.0,2,7,RACE2PLUS,20.5
2011,2,3508.0,2,8,RACEWHT,31.0
2011,2,568.0,2,8,RACEBLK,29.2
2011,2,132.0,2,8,RACEHIS,34.5
2011,2,51.0,2,8,RACENAA,39.0
2011,2,78.0,2,8,RACE2PLUS,24.0
2012,2,732.0,1,2,RACEBLK,41.9
