yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2013,3,1580.0,0,0,MALE,45.3
2013,3,2286.0,0,0,FEMALE,34.1
2013,3,1547.0,0,1,MALE,25.8
2013,3,2260.0,0,1,FEMALE,21.9
2013,3,1558.0,2,4,MALE,54.2
2013,3,2219.0,2,4,FEMALE,49.8
2013,3,1535.0,2,5,MALE,23.9
2013,3,2189.0,2,5,FEMALE,20.3
2013,3,1553.0,2,6,MALE,36.6
2013,3,2205.0,2,6,FEMALE,31.5
2013,3,2259.0,2,7,FEMALE,26.7
2013,3,1571.0,2,7,MALE,35.4
2013,3,1604.0,2,8,MALE,23.3
2013,3,2306.0,2,8,FEMALE,27.0
2014,3,5774.0,1,2,MALE,29.1
2014,3,8075.0,1,2,FEMALE,28.8
2014,3,5774.0,1,3,MALE,40.4
2014,3,8075.0,1,3,FEMALE,29.5
2014,3,8869.0,2,8,FEMALE,23.2
2014,3,5960.0,2,8,MALE,19.2
2011,2,1681.0,1,2,MALE,30.7
2011,2,2846.0,1,2,FEMALE,31.2
2013,2,3043.0,1,2,FEMALE,34.1
2011,2,1681.0,1,3,MALE,39.3
2011,2,2846.0,1,3,FEMALE,28.6
2011,2,2808.0,0,0,FEMALE,44.8
2011,2,1583.0,0,0,MALE,50.5
2011,2,1547.0,0,1,MALE,30.6
2011,2,2737.0,0,1,FEMALE,26.7
2011,2,1541.0,2,4,MALE,48.5
2011,2,2727.0,2,4,FEMALE,43.0
2011,2,1521.0,2,5,MALE,20.5
2011,2,2699.0,2,5,FEMALE,13.2
2011,2,1531.0,2,6,MALE,31.1
2011,2,2708.0,2,6,FEMALE,24.8
2011,2,2813.0,2,7,FEMALE,19.1
2011,2,1584.0,2,7,MALE,30.6
2011,2,1606.0,2,8,MALE,27.5
2011,2,2843.0,2,8,FEMALE,34.1
2012,2,1937.0,1,2,MALE,34.0
2012,2,3006.0,1,2,FEMALE,35.1
2012,2,1937.0,1,3,MALE,41.6
2012,2,3006.0,1,3,FEMALE,26.8
2012,2,1960.0,2,8,MALE,29.2
2012,2,3214.0,2,8,FEMALE,33.7
2013,2,1980.0,1,3,MALE,39.4
2013,2,3043.0,1,3,FEMALE,31.1
2013,2,1815.0,0,0,MALE,54.1
2013,2,2979.0,0,0,FEMALE,47.4
2012,4,5806.0,2,8,MALE,17.2
2013,2,1779.0,0,1,MALE,31.3
2013,2,2894.0,0,1,FEMALE,25.0
2013,2,1777.0,2,4,MALE,43.4
2013,2,2886.0,2,4,FEMALE,39.3
2013,2,1747.0,2,5,MALE,15.1
2013,2,2852.0,2,5,FEMALE,12.7
2013,2,1771.0,2,6,MALE,27.6
2013,2,2871.0,2,6,FEMALE,23.8
2013,2,1806.0,2,7,MALE,26.7
2013,2,2968.0,2,7,FEMALE,18.3
2013,2,1846.0,2,8,MALE,32.2
2013,2,3025.0,2,8,FEMALE,36.4
2014,2,1841.0,1,2,MALE,35.8
2014,2,3045.0,1,2,FEMALE,36.0
2014,2,1841.0,1,3,MALE,39.8
2014,2,3045.0,1,3,FEMALE,29.6
2014,2,1902.0,2,8,MALE,28.9
2014,2,3348.0,2,8,FEMALE,32.4
2012,4,7694.0,1,2,FEMALE,23.8
2011,4,7159.0,1,2,MALE,23.1
2011,4,7159.0,1,3,MALE,44.1
2012,4,7865.0,2,8,FEMALE,21.1
2011,4,6621.0,0,1,MALE,19.0
2011,4,6717.0,0,0,MALE,35.2
2011,4,6792.0,2,5,MALE,27.0
2011,4,6812.0,2,6,MALE,37.4
2011,4,6839.0,2,7,MALE,37.9
2011,4,6901.0,2,8,MALE,18.1
2012,4,5952.0,1,2,MALE,26.2
2012,4,5952.0,1,3,MALE,40.8
2012,4,7694.0,1,3,FEMALE,29.8
2013,4,4828.0,1,2,MALE,25.1
2013,4,5841.0,1,2,FEMALE,23.1
2013,4,4828.0,1,3,MALE,42.2
2013,4,5841.0,1,3,FEMALE,29.7
2013,4,4240.0,0,0,MALE,35.7
2013,4,5506.0,0,0,FEMALE,25.5
2011,5,7276.0,1,2,FEMALE,20.3
2011,6,2514.0,2,8,MALE,23.9
2013,4,5463.0,0,1,FEMALE,13.9
2013,4,4188.0,0,1,MALE,20.8
2013,4,4385.0,2,5,MALE,27.7
2013,4,5619.0,2,5,FEMALE,20.6
2013,4,4407.0,2,6,MALE,37.4
2013,4,5641.0,2,6,FEMALE,34.8
2013,4,5660.0,2,7,FEMALE,27.3
2013,4,4420.0,2,7,MALE,39.3
2013,4,4468.0,2,8,MALE,21.0
2013,4,5722.0,2,8,FEMALE,21.8
2014,4,3932.0,1,2,MALE,24.0
2014,4,4093.0,1,2,FEMALE,25.4
2014,4,3932.0,1,3,MALE,42.2
2014,4,4093.0,1,3,FEMALE,27.6
2014,4,3680.0,2,8,MALE,20.3
2014,4,4142.0,2,8,FEMALE,23.0
2011,5,5700.0,1,2,MALE,21.1
2012,5,5335.0,2,8,MALE,15.8
2011,5,5700.0,1,3,MALE,43.5
2011,5,7276.0,1,3,FEMALE,26.7
2012,5,6904.0,2,8,FEMALE,18.3
2011,5,7224.0,0,0,FEMALE,31.4
2011,5,5270.0,0,0,MALE,40.1
2011,5,5198.0,0,1,MALE,23.0
2011,5,7116.0,0,1,FEMALE,15.3
2011,5,5171.0,2,5,MALE,28.9
2011,5,7052.0,2,5,FEMALE,25.6
2011,5,5199.0,2,6,MALE,41.8
2011,5,7063.0,2,6,FEMALE,39.5
2011,5,5402.0,2,8,MALE,15.9
2011,6,4074.0,2,8,FEMALE,27.0
2011,5,7319.0,2,7,FEMALE,32.4
2011,5,5332.0,2,7,MALE,38.9
2011,5,7398.0,2,8,FEMALE,17.1
2012,5,5244.0,1,2,MALE,21.1
2012,5,6399.0,1,2,FEMALE,19.8
2012,5,5244.0,1,3,MALE,42.9
2012,5,6399.0,1,3,FEMALE,27.2
2013,5,5824.0,1,2,MALE,20.8
2013,5,7096.0,1,2,FEMALE,21.8
2013,5,5824.0,1,3,MALE,42.6
2013,5,7096.0,1,3,FEMALE,27.1
2013,5,5255.0,0,0,MALE,40.7
2013,5,6913.0,0,0,FEMALE,30.7
2013,5,6794.0,0,1,FEMALE,16.0
2013,5,5184.0,0,1,MALE,22.2
2013,5,5184.0,2,5,MALE,29.7
2013,5,6757.0,2,5,FEMALE,23.8
2013,5,5189.0,2,6,MALE,40.5
2013,5,6773.0,2,6,FEMALE,36.5
2013,5,5295.0,2,7,MALE,40.6
2013,5,6953.0,2,7,FEMALE,31.4
2013,5,5348.0,2,8,MALE,17.3
2013,5,7022.0,2,8,FEMALE,18.6
2014,5,5700.0,1,2,MALE,21.9
2014,5,6867.0,1,2,FEMALE,20.7
2014,5,5700.0,1,3,MALE,43.2
2014,5,6867.0,1,3,FEMALE,28.5
2014,5,5854.0,2,8,MALE,14.8
2014,5,7529.0,2,8,FEMALE,18.0
2011,6,2570.0,1,2,MALE,25.4
