yearend,locationabbr,sample_size,race/ethnicity,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2012,AL,54.0,Other,OWS,Q036,Race/Ethnicity,Other,RACE,RACEOTH,24.4
2012,AL,6024.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,35.5
2012,AL,2165.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,31.2
2012,AL,132.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,34.3
2012,AL,81.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,31.6
2012,AL,87.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,51.4
2012,AL,54.0,Other,OWS,Q037,Race/Ethnicity,Other,RACE,RACEOTH,42.4
2012,AL,6241.0,Non-Hispanic White,PA,Q047,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26.6
2012,AL,2287.0,Non-Hispanic Black,PA,Q047,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,30.2
2012,AL,136.0,Hispanic,PA,Q047,Race/Ethnicity,Hispanic,RACE,RACEHIS,21.5
2012,AL,81.0,American Indian/Alaska Native,PA,Q047,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,30.7
2012,AL,91.0,2 or more races,PA,Q047,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,17.8
2012,AL,55.0,Other,PA,Q047,Race/Ethnicity,Other,RACE,RACEOTH,30.2
2013,AL,4453.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,29.6
2013,AL,1506.0,Non-Hispanic Black,OWS,Q036,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,41.3
2013,AL,57.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,28.2
2013,AL,74.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,46.2
2013,AL,4453.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,36.0
2013,AL,1506.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,34.4
2013,AL,57.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,35.2
2013,AL,74.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,22.3
2013,AL,4296.0,Non-Hispanic White,FV,Q018,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,47.7
2013,AL,1399.0,Non-Hispanic Black,FV,Q018,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,42.7
2013,AL,57.0,Hispanic,FV,Q018,Race/Ethnicity,Hispanic,RACE,RACEHIS,39.4
2013,AL,71.0,American Indian/Alaska Native,FV,Q018,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,51.0
2015,US,8324.0,Asian,OWS,Q036,Race/Ethnicity,Asian,RACE,RACEASN,10.2
2013,AL,70.0,American Indian/Alaska Native,FV,Q019,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,32.5
2013,AL,4208.0,Non-Hispanic White,FV,Q019,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,20.8
2013,AL,1385.0,Non-Hispanic Black,FV,Q019,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,40.8
2013,AL,56.0,Hispanic,FV,Q019,Race/Ethnicity,Hispanic,RACE,RACEHIS,24.5
2013,AL,4253.0,Non-Hispanic White,PA,Q043,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,47.1
