yearend,locationabbr,sample_size,gender,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AK,1776.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,28.9
2011,AK,1518.0,Male,PA,Q046,Gender,Male,GEN,MALE,38.6
2011,AK,1543.0,Male,PA,Q047,Gender,Male,GEN,MALE,20.1
2011,AK,1806.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,24.0
2012,AK,1957.0,Male,OWS,Q036,Gender,Male,GEN,MALE,25.9
2012,AK,2136.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,25.4
2014,US,265596.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,25.6
2012,AK,1957.0,Male,OWS,Q037,Gender,Male,GEN,MALE,44.4
2012,AK,2136.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,32.8
2012,AK,1992.0,Male,PA,Q047,Gender,Male,GEN,MALE,16.9
2012,AK,2344.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,20.1
2013,AK,2093.0,Male,OWS,Q036,Gender,Male,GEN,MALE,29.2
2013,AK,2303.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,27.5
2013,AK,2093.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.4
2013,AK,2303.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,31.2
2013,AK,1956.0,Male,FV,Q018,Gender,Male,GEN,MALE,44.5
2013,AK,2296.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,34.6
2013,AK,1932.0,Male,FV,Q019,Gender,Male,GEN,MALE,22.0
2013,AK,2265.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,16.2
2013,AK,1904.0,Male,PA,Q043,Gender,Male,GEN,MALE,54.7
2013,AK,2223.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,55.9
2013,AK,1881.0,Male,PA,Q044,Gender,Male,GEN,MALE,26.2
2013,AK,2198.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,23.9
2013,AK,1894.0,Male,PA,Q045,Gender,Male,GEN,MALE,37.7
2013,AK,2210.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,35.1
2013,AK,1941.0,Male,PA,Q046,Gender,Male,GEN,MALE,37.8
2013,AK,2266.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,34.0
2013,AK,1976.0,Male,PA,Q047,Gender,Male,GEN,MALE,22.8
2013,AK,2299.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,21.7
2014,AK,1921.0,Male,OWS,Q036,Gender,Male,GEN,MALE,29.3
2014,AK,2221.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,30.2
2014,AK,1921.0,Male,OWS,Q037,Gender,Male,GEN,MALE,40.1
2014,AK,2221.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.4
2014,AK,1963.0,Male,PA,Q047,Gender,Male,GEN,MALE,18.1
2014,AK,2415.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,20.3
2011,AZ,2474.0,Male,OWS,Q036,Gender,Male,GEN,MALE,24.4
2011,AZ,3676.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,25.8
2011,AZ,2400.0,Male,OWS,Q037,Gender,Male,GEN,MALE,46.1
2011,AZ,3581.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.1
2011,AZ,3713.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,34.1
2011,AZ,2392.0,Male,FV,Q018,Gender,Male,GEN,MALE,42.1
2011,AZ,2353.0,Male,FV,Q019,Gender,Male,GEN,MALE,22.6
2011,AZ,3650.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,18.7
2011,AZ,2358.0,Male,PA,Q043,Gender,Male,GEN,MALE,54.8
2011,AZ,3638.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,50.7
2011,AZ,2337.0,Male,PA,Q044,Gender,Male,GEN,MALE,28.5
2011,AZ,3578.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,19.8
2011,AZ,2422.0,Male,PA,Q047,Gender,Male,GEN,MALE,23.7
2011,AZ,2348.0,Male,PA,Q045,Gender,Male,GEN,MALE,35.2
2011,AZ,3613.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,30.9
2011,AZ,3697.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,26.5
2011,AZ,2390.0,Male,PA,Q046,Gender,Male,GEN,MALE,38.6
2011,AZ,3775.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,24.5
2012,AZ,2948.0,Male,OWS,Q036,Gender,Male,GEN,MALE,26.4
2012,AZ,4003.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,25.6
2012,AZ,2948.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.4
2012,AZ,4003.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,28.2
2012,AZ,2978.0,Male,PA,Q047,Gender,Male,GEN,MALE,21.1
2012,AZ,4307.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,23.9
2013,AZ,1723.0,Male,OWS,Q036,Gender,Male,GEN,MALE,26.5
2013,AZ,2306.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,27.1
2013,AZ,1723.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.0
2013,AZ,2306.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,26.8
2013,AR,1980.0,Male,OWS,Q036,Gender,Male,GEN,MALE,35.2
2013,AZ,1580.0,Male,FV,Q018,Gender,Male,GEN,MALE,45.3
2013,AZ,2286.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,34.1
2013,AZ,1547.0,Male,FV,Q019,Gender,Male,GEN,MALE,25.8
2013,AZ,2260.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,21.9
2013,AZ,1558.0,Male,PA,Q043,Gender,Male,GEN,MALE,54.2
2013,AZ,2219.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,49.8
2013,AZ,1535.0,Male,PA,Q044,Gender,Male,GEN,MALE,23.9
2013,AZ,2189.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,20.3
2013,AZ,1553.0,Male,PA,Q045,Gender,Male,GEN,MALE,36.6
2013,AZ,2205.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,31.5
2013,AZ,2259.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,26.7
2013,AZ,1571.0,Male,PA,Q046,Gender,Male,GEN,MALE,35.4
2013,AZ,1604.0,Male,PA,Q047,Gender,Male,GEN,MALE,23.3
2013,AZ,2306.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,27.0
2014,AZ,5774.0,Male,OWS,Q036,Gender,Male,GEN,MALE,29.1
2014,AZ,8075.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,28.8
2014,AZ,5774.0,Male,OWS,Q037,Gender,Male,GEN,MALE,40.4
2014,AZ,8075.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.5
2014,AZ,8869.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,23.2
2014,AZ,5960.0,Male,PA,Q047,Gender,Male,GEN,MALE,19.2
2011,AR,1681.0,Male,OWS,Q036,Gender,Male,GEN,MALE,30.7
2011,AR,2846.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,31.2
2013,AR,3043.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,34.1
2011,AR,1681.0,Male,OWS,Q037,Gender,Male,GEN,MALE,39.3
2011,AR,2846.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,28.6
2011,AR,2808.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,44.8
2011,AR,1583.0,Male,FV,Q018,Gender,Male,GEN,MALE,50.5
2011,AR,1547.0,Male,FV,Q019,Gender,Male,GEN,MALE,30.6
2011,AR,2737.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,26.7
2011,AR,1541.0,Male,PA,Q043,Gender,Male,GEN,MALE,48.5
2011,AR,2727.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,43.0
2011,AR,1521.0,Male,PA,Q044,Gender,Male,GEN,MALE,20.5
2011,AR,2699.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,13.2
2011,AR,1531.0,Male,PA,Q045,Gender,Male,GEN,MALE,31.1
2011,AR,2708.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,24.8
2011,AR,2813.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,19.1
2011,AR,1584.0,Male,PA,Q046,Gender,Male,GEN,MALE,30.6
2011,AR,1606.0,Male,PA,Q047,Gender,Male,GEN,MALE,27.5
2011,AR,2843.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,34.1
2012,AR,1937.0,Male,OWS,Q036,Gender,Male,GEN,MALE,34.0
2012,AR,3006.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,35.1
2012,AR,1937.0,Male,OWS,Q037,Gender,Male,GEN,MALE,41.6
2012,AR,3006.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,26.8
2012,AR,1960.0,Male,PA,Q047,Gender,Male,GEN,MALE,29.2
2012,AR,3214.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,33.7
2013,AR,1980.0,Male,OWS,Q037,Gender,Male,GEN,MALE,39.4
2013,AR,3043.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,31.1
2013,AR,1815.0,Male,FV,Q018,Gender,Male,GEN,MALE,54.1
2013,AR,2979.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,47.4
2012,CA,5806.0,Male,PA,Q047,Gender,Male,GEN,MALE,17.2
2013,AR,1779.0,Male,FV,Q019,Gender,Male,GEN,MALE,31.3
2013,AR,2894.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,25.0
2013,AR,1777.0,Male,PA,Q043,Gender,Male,GEN,MALE,43.4
2013,AR,2886.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,39.3
2013,AR,1747.0,Male,PA,Q044,Gender,Male,GEN,MALE,15.1
2013,AR,2852.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,12.7
2013,AR,1771.0,Male,PA,Q045,Gender,Male,GEN,MALE,27.6
2013,AR,2871.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,23.8
2013,AR,1806.0,Male,PA,Q046,Gender,Male,GEN,MALE,26.7
2013,AR,2968.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,18.3
2013,AR,1846.0,Male,PA,Q047,Gender,Male,GEN,MALE,32.2
2013,AR,3025.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,36.4
2014,AR,1841.0,Male,OWS,Q036,Gender,Male,GEN,MALE,35.8
2014,AR,3045.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,36.0
2014,AR,1841.0,Male,OWS,Q037,Gender,Male,GEN,MALE,39.8
2014,AR,3045.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.6
2014,AR,1902.0,Male,PA,Q047,Gender,Male,GEN,MALE,28.9
2014,AR,3348.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,32.4
2012,CA,7694.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,23.8
2011,CA,7159.0,Male,OWS,Q036,Gender,Male,GEN,MALE,23.1
2011,CA,9929.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,24.5
2011,CA,7159.0,Male,OWS,Q037,Gender,Male,GEN,MALE,44.1
2011,CA,9929.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,28.5
2012,CA,7865.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,21.1
2011,CA,9670.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,25.7
2011,CA,6621.0,Male,FV,Q019,Gender,Male,GEN,MALE,19.0
2011,CA,6717.0,Male,FV,Q018,Gender,Male,GEN,MALE,35.2
2011,CA,9570.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,14.0
2011,CA,6828.0,Male,PA,Q043,Gender,Male,GEN,MALE,58.9
2011,CA,9932.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,57.5
2011,CA,6792.0,Male,PA,Q044,Gender,Male,GEN,MALE,27.0
2011,CA,9869.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,20.4
2011,CA,6812.0,Male,PA,Q045,Gender,Male,GEN,MALE,37.4
2011,CA,9904.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,34.9
2011,CA,9938.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,26.3
2011,CA,6839.0,Male,PA,Q046,Gender,Male,GEN,MALE,37.9
2011,CA,6901.0,Male,PA,Q047,Gender,Male,GEN,MALE,18.1
2011,CA,10026.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,20.1
2012,CA,5952.0,Male,OWS,Q036,Gender,Male,GEN,MALE,26.2
2012,CA,5952.0,Male,OWS,Q037,Gender,Male,GEN,MALE,40.8
2012,CA,7694.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.8
2013,CA,4828.0,Male,OWS,Q036,Gender,Male,GEN,MALE,25.1
2013,CA,5841.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,23.1
2013,CA,4828.0,Male,OWS,Q037,Gender,Male,GEN,MALE,42.2
2013,CA,5841.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.7
2013,CA,4240.0,Male,FV,Q018,Gender,Male,GEN,MALE,35.7
2013,CA,5506.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,25.5
2011,CO,7276.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,20.3
2011,CT,2514.0,Male,PA,Q047,Gender,Male,GEN,MALE,23.9
2013,CA,5463.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,13.9
2013,CA,4188.0,Male,FV,Q019,Gender,Male,GEN,MALE,20.8
2013,CA,4415.0,Male,PA,Q043,Gender,Male,GEN,MALE,56.9
2013,CA,5663.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,55.8
2013,CA,4385.0,Male,PA,Q044,Gender,Male,GEN,MALE,27.7
2013,CA,5619.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,20.6
2013,CA,4407.0,Male,PA,Q045,Gender,Male,GEN,MALE,37.4
2013,CA,5641.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,34.8
2013,CA,5660.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,27.3
2013,CA,4420.0,Male,PA,Q046,Gender,Male,GEN,MALE,39.3
2013,CA,4468.0,Male,PA,Q047,Gender,Male,GEN,MALE,21.0
2013,CA,5722.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,21.8
2014,CA,3932.0,Male,OWS,Q036,Gender,Male,GEN,MALE,24.0
2014,CA,4093.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,25.4
2014,CA,3932.0,Male,OWS,Q037,Gender,Male,GEN,MALE,42.2
2014,CA,4093.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,27.6
2014,CA,3680.0,Male,PA,Q047,Gender,Male,GEN,MALE,20.3
2014,CA,4142.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,23.0
2011,CO,5700.0,Male,OWS,Q036,Gender,Male,GEN,MALE,21.1
2012,CO,5335.0,Male,PA,Q047,Gender,Male,GEN,MALE,15.8
2011,CO,5700.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.5
2011,CO,7276.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,26.7
2012,CO,6904.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,18.3
2011,CO,7224.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,31.4
2011,CO,5270.0,Male,FV,Q018,Gender,Male,GEN,MALE,40.1
2011,CO,5198.0,Male,FV,Q019,Gender,Male,GEN,MALE,23.0
2011,CO,7116.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,15.3
2011,CO,5230.0,Male,PA,Q043,Gender,Male,GEN,MALE,61.8
2011,CO,7119.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,61.9
2011,CO,5171.0,Male,PA,Q044,Gender,Male,GEN,MALE,28.9
2011,CO,7052.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,25.6
2011,CO,5199.0,Male,PA,Q045,Gender,Male,GEN,MALE,41.8
2011,CO,7063.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,39.5
2011,CO,5402.0,Male,PA,Q047,Gender,Male,GEN,MALE,15.9
2011,CT,4074.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,27.0
2011,CO,7319.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,32.4
2011,CO,5332.0,Male,PA,Q046,Gender,Male,GEN,MALE,38.9
2011,CO,7398.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,17.1
2012,CO,5244.0,Male,OWS,Q036,Gender,Male,GEN,MALE,21.1
