yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2011,AR,4391.0,FV,Q018,Total,Total,OVR,OVERALL,Total,47.5
2011,AR,4284.0,FV,Q019,Total,Total,OVR,OVERALL,Total,28.6
2011,AR,4268.0,PA,Q043,Total,Total,OVR,OVERALL,Total,45.7
2011,AR,4220.0,PA,Q044,Total,Total,OVR,OVERALL,Total,16.7
2011,AR,4239.0,PA,Q045,Total,Total,OVR,OVERALL,Total,27.8
2011,AR,4397.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.7
2011,AR,4449.0,PA,Q047,Total,Total,OVR,OVERALL,Total,30.9
2012,AR,4943.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.5
2012,AR,4943.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.2
2012,AR,5174.0,PA,Q047,Total,Total,OVR,OVERALL,Total,31.5
2013,AR,5023.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.6
2013,AR,5023.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.3
2013,AR,4794.0,FV,Q018,Total,Total,OVR,OVERALL,Total,50.5
2013,AR,4673.0,FV,Q019,Total,Total,OVR,OVERALL,Total,28.0
2013,AR,4871.0,PA,Q047,Total,Total,OVR,OVERALL,Total,34.4
2013,AR,4663.0,PA,Q043,Total,Total,OVR,OVERALL,Total,41.2
2013,AR,4599.0,PA,Q044,Total,Total,OVR,OVERALL,Total,13.8
2013,AR,4642.0,PA,Q045,Total,Total,OVR,OVERALL,Total,25.6
2013,AR,4774.0,PA,Q046,Total,Total,OVR,OVERALL,Total,22.3
2014,AR,4886.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,35.9
2014,AR,4886.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.7
2014,AR,5250.0,PA,Q047,Total,Total,OVR,OVERALL,Total,30.7
2012,CA,13646.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.0
2011,CA,17088.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,23.8
2011,CA,17088.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.4
2011,CA,16387.0,FV,Q018,Total,Total,OVR,OVERALL,Total,30.4
2011,CA,16191.0,FV,Q019,Total,Total,OVR,OVERALL,Total,16.5
2012,CA,13671.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.2
2011,CA,16760.0,PA,Q043,Total,Total,OVR,OVERALL,Total,58.2
2011,CA,16661.0,PA,Q044,Total,Total,OVR,OVERALL,Total,23.7
2011,CA,16716.0,PA,Q045,Total,Total,OVR,OVERALL,Total,36.1
2011,CA,16777.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.1
2011,CA,16927.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.1
2012,CA,13646.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.3
2013,CA,10669.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.1
2013,CA,10669.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.0
2011,CT,6588.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.5
2013,CA,9746.0,FV,Q018,Total,Total,OVR,OVERALL,Total,30.4
2013,CA,9651.0,FV,Q019,Total,Total,OVR,OVERALL,Total,17.3
2013,CA,10078.0,PA,Q043,Total,Total,OVR,OVERALL,Total,56.3
2013,CA,10004.0,PA,Q044,Total,Total,OVR,OVERALL,Total,24.1
2013,CA,10048.0,PA,Q045,Total,Total,OVR,OVERALL,Total,36.0
2013,CA,10080.0,PA,Q046,Total,Total,OVR,OVERALL,Total,33.2
2013,CA,10190.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.4
2014,CA,8025.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.7
2014,CA,8025.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.0
2014,CA,7822.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.7
2012,CO,12239.0,PA,Q047,Total,Total,OVR,OVERALL,Total,17.0
2011,CO,12976.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,20.7
2011,CO,12976.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2011,CO,12494.0,FV,Q018,Total,Total,OVR,OVERALL,Total,35.7
2011,CO,12314.0,FV,Q019,Total,Total,OVR,OVERALL,Total,19.1
2011,CO,12349.0,PA,Q043,Total,Total,OVR,OVERALL,Total,61.8
2011,CO,12800.0,PA,Q047,Total,Total,OVR,OVERALL,Total,16.5
2011,CO,12223.0,PA,Q044,Total,Total,OVR,OVERALL,Total,27.3
2011,CO,12262.0,PA,Q045,Total,Total,OVR,OVERALL,Total,40.7
2011,CO,12651.0,PA,Q046,Total,Total,OVR,OVERALL,Total,35.6
2012,CO,11643.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,20.5
2012,CO,11643.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.2
2013,CO,12920.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.3
2013,CO,12920.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.1
2013,CO,12168.0,FV,Q018,Total,Total,OVR,OVERALL,Total,35.7
2013,CO,11978.0,FV,Q019,Total,Total,OVR,OVERALL,Total,19.1
2013,CO,12024.0,PA,Q043,Total,Total,OVR,OVERALL,Total,60.4
2013,CO,11941.0,PA,Q044,Total,Total,OVR,OVERALL,Total,26.7
2013,CO,11962.0,PA,Q045,Total,Total,OVR,OVERALL,Total,38.5
2013,CO,12248.0,PA,Q046,Total,Total,OVR,OVERALL,Total,35.9
2013,CO,12370.0,PA,Q047,Total,Total,OVR,OVERALL,Total,17.9
2014,CO,12567.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.3
2014,CO,12567.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.1
2014,CO,13383.0,PA,Q047,Total,Total,OVR,OVERALL,Total,16.4
2011,CT,6457.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.5
2011,CT,6457.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.2
2011,CT,6519.0,FV,Q018,Total,Total,OVR,OVERALL,Total,32.0
2011,CT,6420.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.6
2012,CT,8312.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.6
2011,CT,6376.0,PA,Q043,Total,Total,OVR,OVERALL,Total,52.6
2011,CT,6303.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.8
2011,CT,6340.0,PA,Q045,Total,Total,OVR,OVERALL,Total,32.8
2011,CT,6485.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.6
2012,CT,8312.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.7
2012,CT,8760.0,PA,Q047,Total,Total,OVR,OVERALL,Total,22.1
2013,CT,7309.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.0
2013,CT,7309.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,37.6
2011,DE,4530.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.8
2013,CT,7073.0,FV,Q018,Total,Total,OVR,OVERALL,Total,33.7
2013,CT,6954.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.2
2013,CT,6902.0,PA,Q043,Total,Total,OVR,OVERALL,Total,50.9
2013,CT,6824.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.8
2013,CT,6874.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.1
2013,CT,7007.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.0
2013,CT,7121.0,PA,Q047,Total,Total,OVR,OVERALL,Total,24.9
