yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2013,IL,5347.0,FV,Q018,Total,Total,OVR,OVERALL,Total,36.7
2011,IN,7913.0,FV,Q018,Total,Total,OVR,OVERALL,Total,41.6
2013,IL,5291.0,FV,Q019,Total,Total,OVR,OVERALL,Total,24.0
2013,IL,5234.0,PA,Q043,Total,Total,OVR,OVERALL,Total,52.4
2013,IL,5201.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.3
2013,IL,5219.0,PA,Q045,Total,Total,OVR,OVERALL,Total,32.7
2013,IL,5255.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.2
2013,IL,5305.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.1
2014,IL,4835.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.3
2014,IL,4835.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.5
2014,IL,5050.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.9
2011,IN,8048.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.8
2011,IN,8048.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.8
2011,IN,7778.0,FV,Q019,Total,Total,OVR,OVERALL,Total,27.3
2011,IN,7640.0,PA,Q043,Total,Total,OVR,OVERALL,Total,46.0
2011,IN,7553.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.3
2011,IN,7579.0,PA,Q045,Total,Total,OVR,OVERALL,Total,27.5
2011,IN,7897.0,PA,Q046,Total,Total,OVR,OVERALL,Total,26.0
2011,IN,8004.0,PA,Q047,Total,Total,OVR,OVERALL,Total,29.2
2012,IN,8225.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.4
2012,IN,8225.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.1
2012,IN,8628.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.9
2013,IN,9770.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.8
2013,IN,9770.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2013,IN,9433.0,FV,Q018,Total,Total,OVR,OVERALL,Total,43.6
2013,IN,9250.0,FV,Q019,Total,Total,OVR,OVERALL,Total,26.9
2013,IN,9177.0,PA,Q043,Total,Total,OVR,OVERALL,Total,44.0
2013,IN,9082.0,PA,Q044,Total,Total,OVR,OVERALL,Total,16.2
2013,IN,9080.0,PA,Q045,Total,Total,OVR,OVERALL,Total,26.2
2013,IN,9454.0,PA,Q046,Total,Total,OVR,OVERALL,Total,25.6
2013,IN,9584.0,PA,Q047,Total,Total,OVR,OVERALL,Total,31.0
2014,IN,10773.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,32.7
2014,IN,10773.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.7
2014,IN,11510.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.1
2011,IA,6898.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.0
2011,IA,6898.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.8
2011,IA,6937.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.8
2011,IA,6798.0,FV,Q019,Total,Total,OVR,OVERALL,Total,26.9
2011,IA,6863.0,PA,Q043,Total,Total,OVR,OVERALL,Total,47.6
2011,IA,6813.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.2
2011,IA,6832.0,PA,Q045,Total,Total,OVR,OVERALL,Total,26.9
2011,IA,6978.0,PA,Q046,Total,Total,OVR,OVERALL,Total,27.5
2011,IA,7036.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.9
2012,IA,6769.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.4
2012,IA,6769.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.3
2012,IA,7160.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.1
2013,IA,7672.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.3
2013,IA,7607.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.3
2013,IA,7672.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.7
2013,IA,7456.0,FV,Q019,Total,Total,OVR,OVERALL,Total,26.8
2013,IA,7473.0,PA,Q043,Total,Total,OVR,OVERALL,Total,46.9
2013,IA,7419.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.9
2013,IA,7407.0,PA,Q045,Total,Total,OVR,OVERALL,Total,27.2
2013,IA,7594.0,PA,Q046,Total,Total,OVR,OVERALL,Total,27.2
2013,IA,7678.0,PA,Q047,Total,Total,OVR,OVERALL,Total,28.5
2014,IA,7572.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.9
2014,IA,7572.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.0
2014,IA,8121.0,PA,Q047,Total,Total,OVR,OVERALL,Total,22.6
2011,KS,19619.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.6
2011,KS,19619.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.8
2011,KS,19747.0,FV,Q018,Total,Total,OVR,OVERALL,Total,41.4
2011,KS,19476.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.2
2011,KS,19690.0,PA,Q043,Total,Total,OVR,OVERALL,Total,46.8
2011,KS,19585.0,PA,Q044,Total,Total,OVR,OVERALL,Total,16.5
2011,KS,19603.0,PA,Q045,Total,Total,OVR,OVERALL,Total,26.4
2011,KS,20144.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.5
2011,KS,20272.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.8
2012,KS,11238.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.8
2012,KS,11238.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.7
2012,KS,11793.0,PA,Q047,Total,Total,OVR,OVERALL,Total,22.9
2013,KS,21991.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.0
2013,KS,21991.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.3
2013,KS,21806.0,FV,Q018,Total,Total,OVR,OVERALL,Total,41.8
2013,KS,21405.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.9
2013,KS,21446.0,PA,Q043,Total,Total,OVR,OVERALL,Total,49.1
2013,KS,21297.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.9
2013,KS,21297.0,PA,Q045,Total,Total,OVR,OVERALL,Total,29.7
2013,KS,21947.0,PA,Q046,Total,Total,OVR,OVERALL,Total,26.8
2013,KS,22177.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.5
2014,KS,12825.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.3
2014,KS,12825.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.7
2014,KS,13727.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.8
2011,KY,10114.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.4
2011,KY,10114.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.1
2011,KY,9829.0,FV,Q018,Total,Total,OVR,OVERALL,Total,45.9
2011,KY,9660.0,FV,Q019,Total,Total,OVR,OVERALL,Total,25.2
2011,KY,9595.0,PA,Q043,Total,Total,OVR,OVERALL,Total,46.8
2011,KY,9519.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.3
2011,KY,9487.0,PA,Q045,Total,Total,OVR,OVERALL,Total,29.3
2011,KY,10006.0,PA,Q046,Total,Total,OVR,OVERALL,Total,26.3
2011,KY,10097.0,PA,Q047,Total,Total,OVR,OVERALL,Total,29.3
2012,KY,10570.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.3
2012,KY,10570.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.6
2012,KY,11201.0,PA,Q047,Total,Total,OVR,OVERALL,Total,29.7
2013,KY,10325.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,33.2
2013,KY,10325.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.1
2013,KY,10002.0,FV,Q018,Total,Total,OVR,OVERALL,Total,46.2
2013,KY,9819.0,FV,Q019,Total,Total,OVR,OVERALL,Total,24.9
2013,KY,9820.0,PA,Q043,Total,Total,OVR,OVERALL,Total,46.0
2013,KY,9736.0,PA,Q044,Total,Total,OVR,OVERALL,Total,16.6
2014,KY,11189.0,PA,Q047,Total,Total,OVR,OVERALL,Total,28.2
2013,KY,9776.0,PA,Q045,Total,Total,OVR,OVERALL,Total,28.5
2013,KY,10037.0,PA,Q046,Total,Total,OVR,OVERALL,Total,25.8
2013,KY,10156.0,PA,Q047,Total,Total,OVR,OVERALL,Total,30.2
2014,KY,10442.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.6
2014,KY,10442.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.1
2011,LA,10404.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,33.4
2011,LA,10404.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.1
2011,LA,10192.0,FV,Q018,Total,Total,OVR,OVERALL,Total,46.7
2011,LA,9940.0,FV,Q019,Total,Total,OVR,OVERALL,Total,32.5
2011,LA,10121.0,PA,Q043,Total,Total,OVR,OVERALL,Total,42.0
2011,LA,10028.0,PA,Q044,Total,Total,OVR,OVERALL,Total,15.5
2011,LA,10047.0,PA,Q045,Total,Total,OVR,OVERALL,Total,25.9
2011,LA,10475.0,PA,Q046,Total,Total,OVR,OVERALL,Total,23.9
2011,LA,10608.0,PA,Q047,Total,Total,OVR,OVERALL,Total,33.8
2012,LA,8656.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.7
2012,LA,8656.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.9
2012,LA,9062.0,PA,Q047,Total,Total,OVR,OVERALL,Total,29.9
2013,LA,5014.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,33.1
2013,LA,5014.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.3
2013,LA,4770.0,FV,Q018,Total,Total,OVR,OVERALL,Total,47.5
2013,LA,4632.0,FV,Q019,Total,Total,OVR,OVERALL,Total,32.7
2013,LA,4784.0,PA,Q043,Total,Total,OVR,OVERALL,Total,45.1
2013,LA,4718.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.2
2013,LA,4741.0,PA,Q045,Total,Total,OVR,OVERALL,Total,27.6
2013,LA,4944.0,PA,Q046,Total,Total,OVR,OVERALL,Total,25.9
2013,LA,5026.0,PA,Q047,Total,Total,OVR,OVERALL,Total,32.2
2014,LA,6366.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.9
2014,LA,6366.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.1
2014,LA,6772.0,PA,Q047,Total,Total,OVR,OVERALL,Total,29.5
2011,ME,12643.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.8
2011,ME,12643.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,37.2
2011,ME,12630.0,FV,Q018,Total,Total,OVR,OVERALL,Total,33.2
2011,ME,12514.0,FV,Q019,Total,Total,OVR,OVERALL,Total,18.9
2011,ME,12356.0,PA,Q043,Total,Total,OVR,OVERALL,Total,56.7
2011,ME,12234.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.6
2011,ME,12248.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.6
2011,ME,12648.0,PA,Q046,Total,Total,OVR,OVERALL,Total,27.5
2011,ME,12799.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.0
2012,ME,9512.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.3
2012,ME,9512.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.8
2012,ME,9905.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.9
2013,ME,7791.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.9
2013,ME,7791.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.0
2013,ME,7645.0,FV,Q018,Total,Total,OVR,OVERALL,Total,34.0
2013,ME,7537.0,FV,Q019,Total,Total,OVR,OVERALL,Total,17.7
2013,ME,7445.0,PA,Q043,Total,Total,OVR,OVERALL,Total,53.6
2013,ME,7383.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.5
2013,ME,7384.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.5
2013,ME,7650.0,PA,Q046,Total,Total,OVR,OVERALL,Total,29.6
2013,ME,7724.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.3
2014,ME,8705.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.2
2014,ME,8705.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.3
2014,ME,9118.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.7
2011,MD,9450.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.3
2011,MD,9450.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.1
2011,MD,9461.0,FV,Q018,Total,Total,OVR,OVERALL,Total,36.4
2011,MD,9291.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.8
2011,MD,9307.0,PA,Q043,Total,Total,OVR,OVERALL,Total,48.7
2011,MD,9239.0,PA,Q044,Total,Total,OVR,OVERALL,Total,19.8
2011,MD,9251.0,PA,Q045,Total,Total,OVR,OVERALL,Total,28.8
2011,MD,9604.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.2
2011,MD,9684.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.2
2012,MD,11947.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.6
2012,MD,11947.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.2
2012,MD,12798.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.1
2013,MD,12169.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.3
2013,MD,12169.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.9
2013,MD,11909.0,FV,Q018,Total,Total,OVR,OVERALL,Total,35.9
2013,MD,11646.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.0
2013,MD,11194.0,PA,Q043,Total,Total,OVR,OVERALL,Total,48.6
2013,MD,11115.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.6
2013,MD,11087.0,PA,Q045,Total,Total,OVR,OVERALL,Total,28.3
2013,MD,12146.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.0
2013,MD,12261.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.3
2014,MD,11713.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.6
2014,MD,11713.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.3
2014,MD,12556.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.4
2011,MA,20532.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,22.7
2011,MA,20634.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.5
2011,MA,20532.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.6
2011,MA,20220.0,FV,Q018,Total,Total,OVR,OVERALL,Total,31.6
2011,MA,19903.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.7
2011,MA,19779.0,PA,Q043,Total,Total,OVR,OVERALL,Total,56.3
2011,MA,19543.0,PA,Q044,Total,Total,OVR,OVERALL,Total,23.3
2011,MA,19627.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.7
2011,MA,20304.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.0
2012,MA,19904.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,22.9
2012,MA,19904.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.9
2011,MI,10772.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.6
2012,MA,21691.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.8
2013,MA,13883.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,23.6
2013,MA,13883.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.4
2013,MA,13492.0,FV,Q018,Total,Total,OVR,OVERALL,Total,32.8
2013,MA,13236.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.1
2013,MA,13145.0,PA,Q043,Total,Total,OVR,OVERALL,Total,54.5
2013,MA,13034.0,PA,Q044,Total,Total,OVR,OVERALL,Total,23.5
2013,MA,13067.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.0
2013,MA,13340.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.6
2013,MA,13532.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.5
2014,MA,14394.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,23.3
2014,MA,14394.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.6
2014,MA,15632.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.1
2011,MI,10579.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.3
2011,MI,10579.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.2
2011,MI,10589.0,FV,Q018,Total,Total,OVR,OVERALL,Total,37.3
2011,MI,10480.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.2
2011,MI,10446.0,PA,Q043,Total,Total,OVR,OVERALL,Total,53.5
2011,MI,10375.0,PA,Q044,Total,Total,OVR,OVERALL,Total,19.7
2011,MI,10384.0,PA,Q045,Total,Total,OVR,OVERALL,Total,33.6
2011,MI,10670.0,PA,Q046,Total,Total,OVR,OVERALL,Total,28.8
2012,MI,10052.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.1
2012,MI,10052.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.6
2012,MI,10490.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.3
2013,MI,12177.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.5
2013,MI,12177.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.7
2013,MI,12047.0,FV,Q018,Total,Total,OVR,OVERALL,Total,37.7
2013,MI,11869.0,FV,Q019,Total,Total,OVR,OVERALL,Total,24.8
2013,MI,11826.0,PA,Q043,Total,Total,OVR,OVERALL,Total,53.1
2013,MI,11732.0,PA,Q044,Total,Total,OVR,OVERALL,Total,19.5
2013,MI,11754.0,PA,Q045,Total,Total,OVR,OVERALL,Total,33.9
2013,MI,12068.0,PA,Q046,Total,Total,OVR,OVERALL,Total,28.8
2013,MI,12214.0,PA,Q047,Total,Total,OVR,OVERALL,Total,24.4
2014,MI,8024.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.7
2014,MI,8024.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.9
2014,MI,8455.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.5
2011,MN,14387.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.7
2011,MN,14387.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.8
2011,MN,14391.0,FV,Q018,Total,Total,OVR,OVERALL,Total,36.2
2011,MN,14219.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.6
2011,MN,14167.0,PA,Q043,Total,Total,OVR,OVERALL,Total,54.0
2011,MN,14017.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.9
2011,MN,14091.0,PA,Q045,Total,Total,OVR,OVERALL,Total,33.7
2011,MN,14443.0,PA,Q046,Total,Total,OVR,OVERALL,Total,29.6
2011,MN,14639.0,PA,Q047,Total,Total,OVR,OVERALL,Total,21.9
2013,MN,13450.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.5
2012,MN,11429.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.7
2012,MN,11429.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,37.3
2012,MN,12226.0,PA,Q047,Total,Total,OVR,OVERALL,Total,17.6
2013,MN,13450.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.6
2013,MN,13187.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.2
2013,MN,12985.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.6
2013,MN,12903.0,PA,Q043,Total,Total,OVR,OVERALL,Total,52.7
2013,MN,12782.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.2
2013,MN,12816.0,PA,Q045,Total,Total,OVR,OVERALL,Total,30.6
2013,MS,7032.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,35.1
2013,MN,13168.0,PA,Q046,Total,Total,OVR,OVERALL,Total,31.2
2013,MN,13323.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.5
2014,MN,15309.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.6
2014,MN,15309.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.5
2014,MN,16395.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.2
2011,MS,8504.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.9
2011,MS,8504.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.0
2011,MS,8303.0,FV,Q018,Total,Total,OVR,OVERALL,Total,50.8
2011,MS,8192.0,FV,Q019,Total,Total,OVR,OVERALL,Total,32.3
2011,MS,8188.0,PA,Q043,Total,Total,OVR,OVERALL,Total,40.0
2011,MS,8153.0,PA,Q044,Total,Total,OVR,OVERALL,Total,14.2
2011,MS,8152.0,PA,Q045,Total,Total,OVR,OVERALL,Total,23.7
2011,MS,8485.0,PA,Q046,Total,Total,OVR,OVERALL,Total,23.9
2011,MS,8540.0,PA,Q047,Total,Total,OVR,OVERALL,Total,36.0
2012,MS,7429.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,34.6
2012,MS,7429.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.3
2012,MS,7781.0,PA,Q047,Total,Total,OVR,OVERALL,Total,30.8
2013,MS,7032.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.2
2013,MS,6785.0,FV,Q018,Total,Total,OVR,OVERALL,Total,49.9
2013,MS,6644.0,FV,Q019,Total,Total,OVR,OVERALL,Total,30.6
2011,MO,6095.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.3
2013,MS,6711.0,PA,Q043,Total,Total,OVR,OVERALL,Total,37.4
2013,MS,6665.0,PA,Q044,Total,Total,OVR,OVERALL,Total,14.9
2013,MS,6675.0,PA,Q045,Total,Total,OVR,OVERALL,Total,22.1
2013,MS,6941.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.3
2013,MS,7009.0,PA,Q047,Total,Total,OVR,OVERALL,Total,38.1
2014,MS,3975.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,35.5
2014,MS,3975.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.2
2014,MS,4203.0,PA,Q047,Total,Total,OVR,OVERALL,Total,31.6
2011,MO,6095.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.6
2011,MO,5997.0,FV,Q018,Total,Total,OVR,OVERALL,Total,43.9
2011,MO,5919.0,FV,Q019,Total,Total,OVR,OVERALL,Total,25.2
2011,MO,5664.0,PA,Q043,Total,Total,OVR,OVERALL,Total,49.5
2011,MO,5617.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.3
2011,MO,5491.0,PA,Q045,Total,Total,OVR,OVERALL,Total,30.5
2011,MO,6070.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.7
2011,MO,6134.0,PA,Q047,Total,Total,OVR,OVERALL,Total,28.4
2012,MO,6446.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,29.6
2012,MO,6446.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.2
2012,MO,6751.0,PA,Q047,Total,Total,OVR,OVERALL,Total,24.7
2013,MO,6783.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.4
2013,MO,6783.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.1
2013,MO,6635.0,FV,Q018,Total,Total,OVR,OVERALL,Total,43.1
2013,MO,6527.0,FV,Q019,Total,Total,OVR,OVERALL,Total,24.3
2014,MO,6695.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.2
2013,MO,6587.0,PA,Q043,Total,Total,OVR,OVERALL,Total,48.6
2013,MO,6735.0,PA,Q046,Total,Total,OVR,OVERALL,Total,26.4
2013,MO,6542.0,PA,Q044,Total,Total,OVR,OVERALL,Total,17.4
2013,MO,6553.0,PA,Q045,Total,Total,OVR,OVERALL,Total,30.6
2014,MO,7076.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.0
2013,MO,6793.0,PA,Q047,Total,Total,OVR,OVERALL,Total,28.3
2014,MO,6695.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.4
2011,MT,9882.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.6
2011,MT,9882.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.6
2011,MT,9652.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.2
2011,MT,9569.0,FV,Q019,Total,Total,OVR,OVERALL,Total,21.7
2011,MT,9547.0,PA,Q043,Total,Total,OVR,OVERALL,Total,55.3
2011,MT,9464.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.8
2011,MT,9487.0,PA,Q045,Total,Total,OVR,OVERALL,Total,36.0
2011,MT,9724.0,PA,Q046,Total,Total,OVR,OVERALL,Total,30.2
2011,MT,9839.0,PA,Q047,Total,Total,OVR,OVERALL,Total,24.4
2012,MT,8357.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.3
2012,MT,8357.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,37.0
2012,MT,8669.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.5
2013,MT,9323.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,24.6
2013,MT,9323.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.8
2013,MT,9062.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.6
2013,MT,8957.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.5
2013,MT,8974.0,PA,Q043,Total,Total,OVR,OVERALL,Total,57.8
2013,MT,8905.0,PA,Q044,Total,Total,OVR,OVERALL,Total,23.3
2013,MT,8911.0,PA,Q045,Total,Total,OVR,OVERALL,Total,38.8
2013,MT,9116.0,PA,Q046,Total,Total,OVR,OVERALL,Total,31.8
2013,MT,9218.0,PA,Q047,Total,Total,OVR,OVERALL,Total,22.5
2014,MT,7064.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.4
2014,MT,7064.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.6
2014,MT,7493.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.6
2011,US,470700.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.4
2011,US,470531.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.8
2011,US,465274.0,FV,Q018,Total,Total,OVR,OVERALL,Total,37.7
2011,US,458610.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.6
2011,US,458088.0,PA,Q043,Total,Total,OVR,OVERALL,Total,51.6
2011,US,453721.0,PA,Q044,Total,Total,OVR,OVERALL,Total,20.6
2011,US,454894.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.8
2011,US,475078.0,PA,Q047,Total,Total,OVR,OVERALL,Total,25.4
2011,US,469312.0,PA,Q046,Total,Total,OVR,OVERALL,Total,29.3
2012,US,442230.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.7
2012,US,442230.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.7
2012,US,465777.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.3
2013,US,457487.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.3
2013,US,457487.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.5
2013,US,442993.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.5
