yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,1316.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,35.3
2011,AL,1729.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,37.9
2011,AL,2541.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.8
2012,AL,363.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,23.9
2012,AL,731.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,31.3
2012,AL,964.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,34.1
2012,AL,1433.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,39.7
2012,AL,2081.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,40.3
2012,AL,3034.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,26.9
2012,AL,363.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,26.4
2012,AL,731.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,35.0
2012,AL,964.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,34.2
2012,AL,1433.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.0
2012,AL,2081.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.3
2012,AL,3034.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.2
2012,AL,385.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,15.2
2012,AL,769.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,21.4
2012,AL,999.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,27.9
2012,AL,1472.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.6
2012,AL,2156.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,34.2
2012,AL,3155.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,32.0
2013,AL,264.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,19.0
2013,AL,491.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,30.4
2013,AL,649.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,36.7
2013,AL,1003.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,40.0
2013,AL,1509.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,37.1
2013,AL,2328.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,28.4
2014,AL,1886.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.1
2013,AL,264.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,24.8
2013,AL,491.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,38.6
2013,AL,649.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,32.2
2013,AL,1003.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.1
2013,AL,1509.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,38.4
2013,AL,2328.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,41.5
2013,AL,246.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,51.2
2013,AL,457.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,43.3
2013,AL,632.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,48.8
2013,AL,971.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,50.2
2013,AL,1470.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,47.1
2013,AL,2199.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,37.6
2013,AL,1461.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,21.9
2013,AL,2126.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.4
2013,AL,956.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,25.3
2013,AL,459.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,27.7
2013,AL,624.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,25.9
2013,AL,245.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,36.0
2013,AL,243.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,49.5
2013,AL,456.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,50.6
2013,AL,622.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,40.7
2013,AL,960.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,44.3
2013,AL,1439.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,40.9
2013,AL,2195.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,47.3
2013,AL,237.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,26.5
2013,AL,453.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,20.7
2013,AL,616.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,16.2
2013,AL,949.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,14.7
2013,AL,1427.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,10.5
2013,AL,2164.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,11.3
2013,AL,462.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,30.6
2013,AL,620.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,24.0
2013,AL,951.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,28.0
2013,AL,1434.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,25.6
2013,AL,2177.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,32.6
2013,AL,240.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,25.6
2013,AL,455.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,26.5
2013,AL,248.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,44.9
2013,AL,629.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,26.3
2013,AL,976.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,20.9
2013,AL,1495.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,17.5
2013,AL,2273.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,17.0
2013,AL,987.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,34.0
2013,AL,1509.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,36.9
2013,AL,2311.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,34.9
2012,AK,665.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,30.3
2013,AL,636.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,32.8
2013,AL,254.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,22.2
2013,AL,467.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,24.2
2014,AL,409.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,20.4
