yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2012,DC,1197.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.0
2012,DC,137.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,13.4
2012,DC,397.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,9.2
2012,DC,527.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,14.2
2012,DC,631.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,21.8
2012,DC,796.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,21.6
2012,DC,1237.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,31.3
2013,DC,143.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,7.6
2013,DC,439.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,18.9
2013,DC,627.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,27.4
2013,DC,825.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,29.9
2013,DC,1042.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,30.1
2013,DC,1629.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.8
2013,DC,143.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,21.0
2013,DC,439.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,30.7
2013,DC,627.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,28.8
2013,DC,825.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.9
2013,DC,1042.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.7
2013,DC,1629.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,32.5
2013,DC,596.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,34.1
2013,DC,416.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,37.1
2013,DC,761.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,36.6
2013,DC,997.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,33.5
2013,DC,130.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,40.9
2013,DC,1477.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,25.5
2013,DC,120.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,34.0
2013,DC,414.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,17.2
2013,DC,586.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,17.1
2013,DC,764.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,20.7
2013,DC,969.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,25.3
2013,DC,1430.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,18.8
2013,DC,125.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,55.1
2013,DC,406.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,59.9
2013,DC,575.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,57.4
2013,DC,748.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,57.2
2013,DC,930.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,56.6
2013,DC,1455.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,57.5
2013,DC,121.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,30.2
2013,DC,401.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,27.4
2013,DC,569.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,25.4
2013,DC,742.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,23.5
2013,DC,926.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,24.8
2013,DC,1439.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.7
2013,DC,924.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,36.0
2013,DC,123.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,44.6
2013,DC,414.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,13.2
2013,DC,987.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,31.0
2013,DC,124.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,36.3
2013,DC,403.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,32.3
2013,DC,575.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,35.7
2013,DC,743.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,36.1
2013,DC,1504.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,29.4
2013,DC,1439.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.0
2013,DC,408.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,38.6
2013,DC,578.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,36.0
2013,DC,758.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,30.1
2013,DC,127.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,20.9
2013,DC,592.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,16.9
2013,DC,766.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,23.2
2013,DC,997.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,23.1
2013,DC,1533.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,25.6
2014,DC,112.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,10.3
2014,DC,320.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,18.0
2014,DC,408.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,20.6
2014,DC,607.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,32.8
2014,DC,877.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,26.5
2014,DC,1463.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.7
2014,DC,112.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,25.9
2014,DC,320.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,32.4
2014,DC,408.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,34.6
2014,DC,607.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,30.4
2014,DC,877.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.1
2014,DC,1463.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.5
2013,FL,1284.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,12.3
2014,DC,123.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,21.5
2014,DC,350.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,13.5
2014,DC,444.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,19.1
2014,DC,654.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,22.2
2014,DC,958.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,25.8
2014,DC,1530.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,29.7
2011,FL,464.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,10.7
2011,FL,973.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,25.9
2011,FL,1207.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,29.9
2011,FL,1933.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,34.3
2011,FL,2503.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,31.2
2011,FL,4690.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.4
2011,FL,464.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,34.6
2011,FL,973.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,32.5
2011,FL,1200.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,37.0
2011,FL,1924.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,33.2
2011,FL,2438.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,39.7
2011,FL,4690.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.9
2013,FL,2344.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,25.3
2011,FL,4393.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,27.4
2011,FL,2474.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,34.2
2011,FL,1899.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,39.6
2011,FL,1217.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,41.8
2011,FL,972.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,42.1
2011,FL,463.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,47.3
2011,FL,455.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,33.8
2011,FL,963.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,23.2
2011,FL,1203.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,21.1
2011,FL,1881.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,22.7
2011,FL,2442.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,18.1
2011,FL,4275.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,20.4
2011,FL,449.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,59.8
2011,FL,950.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,53.2
2011,FL,1176.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,46.8
2011,FL,1849.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,52.1
2011,FL,2364.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,52.4
2011,FL,4312.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,54.4
2011,FL,446.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,32.7
2011,FL,936.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,26.5
2011,FL,1162.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,19.3
2011,FL,1833.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,20.0
2011,FL,2339.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,18.6
2011,FL,4246.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,16.6
2011,FL,445.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,36.7
2011,FL,938.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,27.4
2011,FL,1169.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,26.8
2011,FL,1838.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,34.0
2011,FL,2347.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,34.2
2011,FL,4261.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,41.3
2011,FL,461.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,42.2
2011,FL,957.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,35.9
2011,FL,1194.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,28.9
2011,FL,1892.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,27.2
2011,FL,2465.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,25.6
2011,FL,4408.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.9
2011,FL,466.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,15.7
2011,FL,981.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,21.1
2011,FL,1215.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,29.1
2011,FL,1911.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.9
2011,FL,2495.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,25.8
2011,FL,4496.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,33.4
2012,FL,295.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,13.1
2012,FL,577.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,23.6
2012,FL,768.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,28.0
2012,FL,1067.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,30.8
2012,FL,1540.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,30.6
2012,FL,2976.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,22.9
2012,FL,295.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,19.3
2012,FL,577.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,35.5
2012,FL,768.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,40.8
2012,FL,1067.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,37.2
2012,FL,1540.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,40.5
2012,FL,2976.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.9
2012,FL,314.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,9.7
2012,FL,628.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,18.7
2012,FL,803.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,23.4
2012,FL,1112.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,25.7
2012,FL,1596.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,26.8
2012,FL,3074.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,29.0
2013,FL,2996.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,32.0
2013,FL,4887.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,32.2
2013,FL,14105.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,24.8
2013,FL,1284.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,24.1
2013,FL,2344.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,34.2
2013,FL,2996.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,34.6
2013,FL,4887.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,38.8
2013,FL,6936.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,40.0
2013,FL,14105.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.5
2013,FL,1246.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,43.9
2013,FL,2287.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,40.5
2013,FL,2909.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,38.9
2013,FL,4751.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,42.9
2013,FL,6706.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,36.0
2013,FL,13072.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,30.2
2013,FL,6615.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,18.5
2013,FL,4708.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,21.3
2013,FL,2886.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,17.2
2013,FL,1243.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,29.6
2013,FL,2270.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,21.9
2013,FL,12587.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,19.5
2013,FL,2616.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,48.4
2013,FL,4416.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,46.7
2013,FL,6294.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,48.1
2013,FL,12706.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,53.5
2013,FL,1033.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,55.7
2013,FL,1990.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,49.3
2013,FL,1018.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,33.3
2013,FL,1972.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,22.1
2013,FL,2589.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,21.7
2013,FL,4380.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,18.0
2013,FL,6218.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,16.2
2013,FL,12472.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,15.8
2013,FL,938.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,35.0
2013,FL,1828.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,26.1
2013,FL,2506.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,25.8
2013,FL,4276.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,27.6
2013,FL,6157.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,31.2
2013,FL,12492.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.7
2013,FL,1253.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,47.8
2013,FL,2288.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,35.2
2013,FL,2895.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,31.2
2013,FL,4723.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,25.2
2013,FL,6665.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,25.3
2013,FL,13143.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.8
2013,FL,1271.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,20.1
2013,FL,2320.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,24.9
2013,FL,2925.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,26.0
2013,FL,4781.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.3
2013,FL,6777.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,29.6
2013,FL,13453.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,32.0
2014,FL,416.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,15.3
2014,FL,703.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,24.3
2014,FL,810.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,31.2
2014,FL,1310.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,33.1
2014,FL,1847.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,28.4
2014,FL,4070.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.2
2014,FL,416.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,24.2
2014,FL,703.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,33.5
2014,FL,810.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,33.3
2014,FL,1310.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,37.5
2014,FL,4070.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.5
2014,FL,448.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,14.3
2014,FL,774.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,18.1
2014,FL,888.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,23.1
2014,FL,1409.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,24.8
2014,FL,1971.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,26.4
2014,FL,4306.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,29.5
2011,GA,312.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,15.0
2011,GA,844.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,26.5
2011,GA,1189.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,29.6
2011,GA,1742.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,33.7
2011,GA,2239.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,34.4
2011,GA,3027.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,25.4
2011,GA,312.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,21.2
2011,GA,844.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,33.5
2011,GA,1188.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,38.2
2011,GA,1722.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,37.0
2011,GA,2206.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,37.1
2011,GA,3027.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,37.9
2011,GA,2841.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,34.5
2011,GA,1735.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,39.6
2011,GA,2240.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,40.5
2011,GA,841.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,42.3
2011,GA,1202.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,45.0
2011,GA,316.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,49.2
2011,GA,314.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,33.2
2011,GA,847.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,24.9
2011,GA,1201.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,18.7
2011,GA,1730.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,21.2
2011,GA,2230.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,22.1
2011,GA,2751.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.9
2011,GA,316.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,58.2
2011,GA,838.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,49.3
2011,GA,1205.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,48.2
2011,GA,1713.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,51.0
2011,GA,2184.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,50.3
2011,GA,2851.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,49.0
2011,GA,313.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,29.6
2011,GA,832.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,25.7
2011,GA,1199.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,20.8
2011,GA,1699.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,18.6
2011,GA,2159.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,16.1
2011,GA,2806.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,13.2
2011,GA,315.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,36.0
2011,GA,832.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,29.2
2011,GA,1196.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,28.0
2011,GA,1706.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,31.7
2011,GA,2165.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,33.4
