yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2013,AL,1813.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,33.6
2013,AL,1658.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,38.9
2013,AL,1878.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,49.5
2013,AL,1731.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,44.2
2013,AL,1653.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,39.5
2013,AL,700.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,51.0
2013,AL,1853.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,29.9
2013,AL,1719.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,21.4
2013,AL,665.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,38.2
2013,AL,1623.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,16.6
2013,AL,1766.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,25.1
2013,AL,699.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,34.2
2013,AL,1874.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,39.9
2013,AL,1724.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,49.0
2013,AL,1608.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,56.7
2013,AL,694.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,8.9
2013,AL,1843.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,12.5
2013,AL,1704.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,17.4
2013,AL,1595.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,24.4
2013,AL,695.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,19.6
2013,AL,1864.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,25.2
2013,AL,1714.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,28.3
2013,AL,1594.0,College graduate,PA,Q045,Education,College graduate,EDU,EDUCOGRAD,35.1
2013,AL,731.0,Less than high school,PA,Q046,Education,Less than high school,EDU,EDUHS,19.1
2013,AL,1928.0,High school graduate,PA,Q046,Education,High school graduate,EDU,EDUHSGRAD,21.3
2013,AL,1646.0,College graduate,PA,Q046,Education,College graduate,EDU,EDUCOGRAD,34.6
2013,AL,736.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,42.1
2013,AL,1962.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,36.5
2013,AL,1789.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,29.7
2013,AL,1664.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,18.4
2014,AL,995.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,34.8
2014,AL,2622.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,35.4
2014,AL,2333.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,34.4
2014,AL,2231.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,28.1
2014,AL,995.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,29.9
2014,AL,2622.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,32.7
2014,AL,2333.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,33.5
2014,AL,2231.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,37.6
2014,AL,1061.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,40.9
2014,AL,2751.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,32.7
2014,AL,2469.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,23.5
2014,AL,2322.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,14.8
2011,AK,245.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,28.8
2011,AK,981.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,33.1
2011,AK,954.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,25.8
2011,AK,1150.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,22.1
